date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:35:42	510/510	---MCZ	200	added ('OK')	text/plain	etag:cacheable:d59a05358d2338c83803b2aa79dad4d7	https://www.shoponline.land/robots.txt		(from )
03:35:42	187425/187425	---MCZ	200	added ('OK')	text/html	etag:cacheable:9bf79c232471f669dce39903739cd247	https://www.shoponline.land/products/smartwatch-serie-8-ultra-ultimas-unidades?variant=44351330615574	/home/usuario/websites/relogio/www.shoponline.land/products/smartwatch-serie-8-ultra-ultimas-unidadesdfcb.html	(from )
03:35:42	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sat,%2001%20Apr%202023%2006:35:42%20GMT	https://www.googletagmanager.com/gtm.js?id=	/home/usuario/websites/relogio/www.googletagmanager.com/gtm.15445.delayed	(from https://www.shoponline.land/products/smartwatch-serie-8-ultra-ultimas-unidades?variant=44351330615574)
03:35:44	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2001%20Apr%202023%2006:35:44%20GMT	http://cdn.shopify.com/s/files/1/0711/9618/0758/files/aurora-favicon_96x96.png?v=1678723821	/home/usuario/websites/relogio/cdn.shopify.com/s/files/1/0711/9618/0758/files/aurora-favicon_96x96.36fb4.delayed	(from https://www.shoponline.land/products/smartwatch-serie-8-ultra-ultimas-unidades?variant=44351330615574)
03:35:44	187717/187717	---MCZ	200	added ('OK')	text/html	etag:cacheable:b276aed8a55c5612f6432144cc0cec2d	https://www.shoponline.land/products/smartwatch-serie-8-ultra-ultimas-unidades	/home/usuario/websites/relogio/www.shoponline.land/products/smartwatch-serie-8-ultra-ultimas-unidades.html	(from https://www.shoponline.land/products/smartwatch-serie-8-ultra-ultimas-unidades?variant=44351330615574)
03:35:45	7236/7236	---M--	200	added ('OK')	image/png	date:Fri,%2031%20Mar%202023%2014:45:13%20GMT	https://cdn.shopify.com/s/files/1/0711/9618/0758/files/aurora-favicon_96x96.png?v=1678723821	/home/usuario/websites/relogio/cdn.shopify.com/s/files/1/0711/9618/0758/files/aurora-favicon_96x966fb4.png	(from https://www.shoponline.land/products/smartwatch-serie-8-ultra-ultimas-unidades?variant=44351330615574)
03:35:46	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2001%20Apr%202023%2006:35:46%20GMT	http://cdn.shopify.com/s/files/1/0711/9618/0758/t/5/assets/theme.css?v=47362189050734230221678723800	/home/usuario/websites/relogio/cdn.shopify.com/s/files/1/0711/9618/0758/t/5/assets/themec745.css	(from https://www.shoponline.land/products/smartwatch-serie-8-ultra-ultimas-unidades?variant=44351330615574)
03:35:48	50/50	---MCZ	403	error ('Forbidden')	text/plain	date:Sat,%2001%20Apr%202023%2006:35:48%20GMT	https://fonts.shopifycdn.com/	/home/usuario/websites/relogio/fonts.shopifycdn.com/index.html	(from https://www.shoponline.land/products/smartwatch-serie-8-ultra-ultimas-unidades?variant=44351330615574)
03:35:48	199295/199295	---MCZ	200	added ('OK')	text/css	date:Wed,%2022%20Mar%202023%2014:07:32%20GMT	https://cdn.shopify.com/s/files/1/0711/9618/0758/t/5/assets/theme.css?v=47362189050734230221678723800	/home/usuario/websites/relogio/cdn.shopify.com/s/files/1/0711/9618/0758/t/5/assets/themec745.css	(from https://www.shoponline.land/products/smartwatch-serie-8-ultra-ultimas-unidades?variant=44351330615574)
03:35:48	70489/70489	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Apr%202023%2006:15:49%20GMT	https://cdn.shopify.com/	/home/usuario/websites/relogio/cdn.shopify.com/index.html	(from https://www.shoponline.land/products/smartwatch-serie-8-ultra-ultimas-unidades?variant=44351330615574)
03:35:48	89501/89501	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-15d9d%22	https://code.jquery.com/jquery-3.6.0.min.js	/home/usuario/websites/relogio/code.jquery.com/jquery-3.6.0.min.js	(from https://www.shoponline.land/products/smartwatch-serie-8-ultra-ultimas-unidades?variant=44351330615574)
03:35:49	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2001%20Apr%202023%2006:35:49%20GMT	https://maps.gstatic.com/	/home/usuario/websites/relogio/maps.gstatic.com/index.html	(from https://www.shoponline.land/products/smartwatch-serie-8-ultra-ultimas-unidades?variant=44351330615574)
03:35:49	232/232	---M--	302	error ('Found')	text/html	date:Sat,%2001%20Apr%202023%2006:35:49%20GMT	https://maps.googleapis.com/	/home/usuario/websites/relogio/maps.googleapis.com/index.html	(from https://www.shoponline.land/products/smartwatch-serie-8-ultra-ultimas-unidades?variant=44351330615574)
03:35:49	251/251	---M--	302	error ('Found')	text/html	date:Sat,%2001%20Apr%202023%2006:35:49%20GMT	https://ajax.googleapis.com/	/home/usuario/websites/relogio/ajax.googleapis.com/index.html	(from https://www.shoponline.land/products/smartwatch-serie-8-ultra-ultimas-unidades?variant=44351330615574)
03:35:49	109/109	---MC-	302	error ('Found')	text/html	date:Sat,%2001%20Apr%202023%2006:35:49%20GMT	https://productreviews.shopifycdn.com/	/home/usuario/websites/relogio/productreviews.shopifycdn.com/index.html	(from https://www.shoponline.land/products/smartwatch-serie-8-ultra-ultimas-unidades?variant=44351330615574)
03:35:50	13424/13424	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-3470%22	https://code.jquery.com/jquery-migrate-3.4.0.min.js	/home/usuario/websites/relogio/code.jquery.com/jquery-migrate-3.4.0.min.js	(from https://www.shoponline.land/products/smartwatch-serie-8-ultra-ultimas-unidades?variant=44351330615574)
03:35:51	9260/9260	---M--	200	added ('OK')	font/woff2	date:Tue,%2021%20Mar%202023%2005:13:34%20GMT	https://fonts.shopifycdn.com/poppins/poppins_n6.e2fdd168541a5add2d1a8d6f2b89b09c9c9e690d.woff2?h1=c2hvcG9ubGluZTMwMTYuYWNjb3VudC5teXNob3BpZnkuY29t&h2=c2hvcG9ubGluZS5sYW5k&hmac=45e1616256fe15b179816ceefb473513e975bd75c3b2965ad2ed16feffe3b6f8	/home/usuario/websites/relogio/fonts.shopifycdn.com/poppins/poppins_n6.e2fdd168541a5add2d1a8d6f2b89b09c9c9e690d60f4.woff2	(from https://www.shoponline.land/products/smartwatch-serie-8-ultra-ultimas-unidades?variant=44351330615574)
